Var1,Var2,Var3,Var4,Var5,Var6
0.39,-0.00307562923647024,-0.0139598287340918,0,-0.00574493408203125,-0.0203644186258316
0.395,-0.00315739404075321,-0.014109444952345,0,-0.00574493408203125,-0.0204025041311979
0.4,-0.00323985353578539,-0.0143078961973081,0,-0.00606536865234375,-0.0204231087118387
0.405,-0.00332345185571081,-0.0142144840492693,0,-0.00609588623046875,-0.0206902325153351
0.41,-0.00340712046920679,-0.0143771873064265,0,-0.0063323974609375,-0.0207213908433914
0.415,-0.00349137906302302,-0.0145383359180319,0,-0.0063323974609375,-0.0207213908433914
0.42,-0.00357043143781685,-0.0145786713910229,0,0.0061492919921875,-0.0191295146942139
0.425,-0.00364974162583044,-0.0147251016142157,0,0.005950927734375,-0.019150372594595
0.43,-0.00372986174011122,-0.0147125956761513,0,0.005859375,-0.0193328000605106
0.435,-0.00381008355917964,-0.0148474047400287,0,0.005767822265625,-0.019357942044735
0.44,-0.00389067609424569,-0.0151178160632607,0,0.0055999755859375,-0.019325029104948
0.445,-0.00397202814210821,-0.0152591661015148,0,0.00550079345703125,-0.019338421523571
0.45,-0.00405376585272852,-0.0154211276595168,0,0.0054168701171875,-0.0193344671279192
0.455,-0.00413638877080647,-0.0153796936493599,0,0.00531768798828125,-0.0195331182330847
0.46,-0.0042191006942909,-0.0154456172459512,0,0.005126953125,-0.0195957161486149
0.465,-0.00430209973961736,-0.0155685882534708,0,0.00501251220703125,-0.0196356195956469
0.47,-0.00438564823220912,-0.0156330847042075,0,0.00490570068359375,-0.0197285767644644
0.475,-0.00446979505966359,-0.0157281635683581,0,0.004730224609375,-0.0198942665010691
0.48,-0.00455414119156681,-0.0157106752974925,0,0.00441741943359375,-0.019857969135046
0.485,-0.00463840960801777,-0.0158831650561804,0,0.0043792724609375,-0.0198520123958588
0.49,-0.00472323581123759,-0.0159869173443044,0,0.0042266845703125,-0.0199013780802488
0.495,-0.0048086273892979,-0.0160180734747158,0,0.00418853759765625,-0.0200287476181984
0.5,-0.00490024659097895,-0.0162217759828289,0,-0.0099029541015625,-0.0211569536477327
0.505,-0.00499290803140051,-0.0162144257886944,0,-0.010040283203125,-0.0213354025036097
0.51,-0.00508566828760441,-0.0163528089902508,0,-0.0101318359375,-0.0213707238435745
0.515,-0.00517932071977407,-0.0163435484764862,0,-0.010223388671875,-0.0215559490025043
0.52,-0.00527280918712282,-0.0164705968739833,0,-0.0104217529296875,-0.0214902684092522
0.525,-0.00536682712608239,-0.016622223072644,0,-0.0106353759765625,-0.0215577855706215
0.53,-0.00546129615752434,-0.0167690277928507,0,-0.0107650756835938,-0.0215846747159958
0.535,-0.00555606246646181,-0.016953553587949,0,-0.0109100341796875,-0.0215673185884953
0.54,-0.00565097773276802,-0.0171919500830661,0,-0.011077880859375,-0.0214734561741352
0.545,-0.00574646593048167,-0.0173416855806792,0,-0.0111923217773438,-0.0214808452874422
0.55,-0.00584183745720495,-0.0176261836424181,0,-0.0112762451171875,-0.0213503856211901
0.555,-0.00593738756573316,-0.0179146231819957,0,-0.0114059448242188,-0.0212098844349384
0.56,-0.00603381934708726,-0.0178307191465802,0,-0.0116500854492188,-0.0212479308247566
0.565,-0.00612997963342167,-0.0179741884028338,0,-0.01171875,-0.0212606247514486
0.57,-0.00622614151982259,-0.0181887355273189,0,-0.0118408203125,-0.0211838260293007
0.575,-0.00632210549863381,-0.0185163602330633,0,-0.0120086669921875,-0.0210013836622238
0.58,-0.00641978426308171,-0.0184611872505551,0,-0.008636474609375,-0.0216247588396072
0.585,-0.00651716380949527,-0.01862091919785,0,-0.0087432861328125,-0.0216172225773335
0.59,-0.00661489648352151,-0.0187399800784937,0,-0.00885009765625,-0.0216429196298122
0.595,-0.00671293956784538,-0.0188412176669158,0,-0.00893402099609375,-0.0216885972768068
0.6,-0.00680953259726495,-0.0192889988463693,0,-0.00913238525390625,-0.0212416425347328
0.605,-0.00690664612524865,-0.0195267587475688,0,-0.00922393798828125,-0.0211272444576025
0.61,-0.00700456857583574,-0.0195540758953895,0,-0.0093231201171875,-0.0212319754064083
0.615,-0.00710193523943449,-0.0197965938272711,0,-0.00945281982421875,-0.021114831790328
0.62,-0.00719970941034584,-0.0199328152770802,0,-0.0096588134765625,-0.0211057476699352
0.625,-0.00729741180548216,-0.0201103566503481,0,-0.009796142578125,-0.0210480839014053
0.63,-0.00739464512367105,-0.0204055718064688,0,-0.00986480712890625,-0.0208720024675131
0.635,-0.00749225071155896,-0.0205649778916428,0,-0.0100936889648438,-0.0208237115293741
0.64,-0.00758999651795898,-0.0207394460171579,0,-0.0103607177734375,-0.0208108928054571
0.645,-0.0076878873032818,-0.0208538934107081,0,-0.0103836059570312,-0.0207995474338531
0.65,-0.00778555101722742,-0.0210337679986449,0,-0.0105514526367188,-0.0207249894738197
0.655,-0.00788272150244757,-0.0213004998090143,0,-0.0106277465820312,-0.0205546170473099
0.66,-0.00798532959655646,-0.0212739883910998,0,-0.01910400390625,-0.0212073773145676
0.665,-0.00808801114685661,-0.0213049891933245,0,-0.0193252563476562,-0.0212833695113659
0.67,-0.00819078856740319,-0.0213462972285564,0,-0.0193099975585938,-0.0213492084294558
0.675,-0.00829262017662919,-0.0216448234826354,0,-0.0194320678710938,-0.0211550742387772
0.68,-0.00839443328072185,-0.0218834028889929,0,-0.0196151733398438,-0.0210274364799261
0.685,-0.00849612929385171,-0.0221240314016903,0,-0.01983642578125,-0.0209152847528458
0.69,-0.00859801443948256,-0.0223612971214468,0,-0.01983642578125,-0.0209152847528458
0.695,-0.00870046068834774,-0.0224054335886848,0,-0.019927978515625,-0.0209653619676828
0.7,-0.00880421351886147,-0.0222798847682609,0,-0.0202407836914062,-0.0212996769696474
0.705,-0.00890232342190202,-0.0225734116641253,0,-0.00655364990234375,-0.021291995421052
0.71,-0.00900102114007905,-0.0226257347256839,0,-0.00665283203125,-0.0213214829564095
0.715,-0.00909849069378328,-0.0229365032767107,0,-0.00669097900390625,-0.0210878252983093
0.72,-0.00919623116283845,-0.0231110502520104,0,-0.00695037841796875,-0.0210378579795361
0.725,-0.00929458323240848,-0.0230822485493626,0,-0.00705718994140625,-0.0211372897028923
0.73,-0.00939287192926695,-0.0231048651672892,0,-0.00722503662109375,-0.0211982801556587
0.735,-0.00949571342980445,-0.0232238726434953,0,-0.0154876708984375,-0.0217063035815954
0.74,-0.00959784492244077,-0.0233577989300327,0,-0.0157012939453125,-0.0215069130063057
0.745,-0.00969987447522098,-0.0234707493384818,0,-0.01580810546875,-0.0214731004089117
0.75,-0.00980151091605676,-0.0236222256711401,0,-0.0158920288085938,-0.0213888734579086
0.755,-0.00990267533674078,-0.0237088226763848,0,-0.0161590576171875,-0.0212187618017197
0.76,-0.0100045524111449,-0.0236464327280695,0,-0.0163192749023438,-0.0213846620172262
0.765,-0.0101060437971646,-0.0237090277688933,0,-0.016448974609375,-0.0213933922350407
0.77,-0.010207247539442,-0.0238113341260482,0,-0.01654052734375,-0.0213609132915735
0.775,-0.0103084507625186,-0.023881829897463,0,-0.016693115234375,-0.0213638786226511
0.78,-0.0104090835175176,-0.0239559820038052,0,-0.0168533325195312,-0.0212348625063896
0.785,-0.0105094909856071,-0.0240472111433603,0,-0.0169677734375,-0.0212083570659161
0.79,-0.010609531171961,-0.02417219812329,0,-0.0170669555664062,-0.0211456902325153
0.795,-0.0107095663312745,-0.0242483019342194,0,-0.0172348022460938,-0.0211353283375502
0.8,-0.0108099025881383,-0.024271721760732,0,-0.0176010131835938,-0.0212011281400919
0.805,-0.0109097789529315,-0.0243751376047178,0,-0.0176239013671875,-0.0211628414690495
0.81,-0.011016087800661,-0.0243811893418171,0,-0.0269927978515625,-0.0218471176922321
0.815,-0.011121875575621,-0.024503865863967,0,-0.0271453857421875,-0.0217917300760746
0.82,-0.0112271975891862,-0.0247515397423474,0,-0.027374267578125,-0.0217088330537081
0.825,-0.0113328802075153,-0.0248052622471595,0,-0.0274124145507812,-0.021718505769968
0.83,-0.0114378934816332,-0.0249710385277952,0,-0.0275115966796875,-0.0216167531907558
0.835,-0.0115431234013809,-0.0250097279912348,0,-0.027618408203125,-0.0216309893876314
0.84,-0.0116482995822038,-0.0250152280045914,0,-0.0278472900390625,-0.0216327123343945
0.845,-0.0117530558947854,-0.0251032237981549,0,-0.0279464721679688,-0.0216037854552269
